"Pseudotime","SMC_Subtype"
6.79512456704279,"SMC2"
7.81095090123161,"SMC3"
11.7129533195217,"SMC5"
4.26077891896438,"SMC1"
9.71274339998097,"SMC3"
2.5663623872588,"SMC1"
11.5431518398199,"SMC2"
10.5257129956469,"SMC2"
8.17432446820545,"SMC3"
3.54658220336756,"SMC1"
9.94446063629177,"SMC1"
5.73717408189077,"SMC1"
11.5431518759521,"SMC2"
9.14413204033752,"SMC3"
6.98484530100225,"SMC1"
1.99757662624583,"SMC1"
13.7690195511784,"SMC5"
6.44423834889637,"SMC2"
11.4108968609356,"SMC2"
10.8230701183627,"SMC2"
8.98242949031959,"SMC2"
8.78861346250453,"SMC3"
5.70998277292663,"SMC1"
3.50352491663308,"SMC1"
9.50121444779936,"SMC1"
7.94868501538532,"SMC2"
10.5158704519922,"SMC1"
11.1116190509892,"SMC2"
5.95683570396507,"SMC1"
8.42219808717142,"SMC2"
5.4199604338704,"SMC1"
4.56514460334092,"SMC3"
13.7884839006382,"SMC1"
8.26625205987102,"SMC1"
3.26062712984281,"SMC1"
7.58546553734876,"SMC2"
9.97273692294997,"SMC2"
14.3569868798362,"SMC5"
12.5739342442986,"SMC1"
8.42585976056698,"SMC2"
3.34176851489014,"SMC1"
8.19421751418067,"SMC3"
8.98242952645181,"SMC2"
8.34654277011356,"SMC1"
10.2043516683979,"SMC1"
14.4042563079712,"SMC5"
8.1808970257234,"SMC2"
7.30493926559065,"SMC3"
14.3322380653466,"SMC5"
7.81095093736383,"SMC3"
14.2695403843787,"SMC5"
9.33992197672727,"SMC3"
5.86364071785828,"SMC3"
8.33294550024983,"SMC2"
12.061950630348,"SMC1"
9.14717980024743,"SMC2"
7.25197355603075,"SMC2"
6.87741785706898,"SMC3"
5.49810981669818,"SMC1"
6.94066906695062,"SMC1"
9.79207490102179,"SMC3"
6.05424545213057,"SMC1"
4.61624576589454,"SMC1"
6.87044539718691,"SMC3"
5.15184522319561,"SMC1"
1.54004155594553,"SMC1"
13.7884839367705,"SMC5"
7.85229375348774,"SMC2"
3.11444684651106,"SMC1"
8.93370357730428,"SMC2"
8.83471892436134,"SMC3"
5.26278068847069,"SMC1"
7.38669103810024,"SMC3"
8.29922111344873,"SMC2"
10.5257130317791,"SMC2"
6.3940222174488,"SMC1"
6.93858748480397,"SMC3"
12.778349182823,"SMC2"
11.5431519120843,"SMC2"
0.621445713173355,"SMC1"
2.34269070480253,"SMC1"
10.4807239761092,"SMC2"
8.98242956258404,"SMC2"
7.80546963347408,"SMC1"
4.27869065740044,"SMC1"
8.99768146410627,"SMC2"
8.98242959871626,"SMC2"
10.7439392145197,"SMC3"
8.2483080327585,"SMC2"
4.75533702835607,"SMC1"
10.1745198293557,"SMC1"
9.68818338437413,"SMC2"
8.81101842160688,"SMC3"
5.34914378648036,"SMC1"
10.0860587132701,"SMC2"
8.56769813506956,"SMC1"
2.09955724156208,"SMC1"
14.191259427082,"SMC5"
11.0626741118175,"SMC2"
8.68986405817146,"SMC1"
3.90803078748164,"SMC1"
0.852794714257387,"SMC1"
14.4873887699475,"SMC5"
7.77053530279206,"SMC2"
3.94519249059917,"SMC1"
10.8230701544949,"SMC2"
10.5257130679114,"SMC2"
6.93717983767131,"SMC2"
