"UMAP_1","UMAP_2","Myeloid_Subtype"
0.941253486180089,0.482070995060126,"Neutrophils"
0.547033134007238,0.273804259983221,"Neutrophils"
-2.79324561069033,0.8318118579065,"Neutrophils"
-2.16536158034823,0.784702134815375,"Neutrophils"
1.65872866203763,4.18793470927826,"M2 Macrophages"
-4.3945745796921,-3.59163610866912,"M1 Macrophages"
1.03463870575406,0.332336199966589,"Neutrophils"
0.344710650944493,3.61331493922822,"Neutrophils"
-1.47903109332792,-0.719482707294306,"Neutrophils"
-0.625424799418666,2.94623096057526,"Neutrophils"
-1.903733310199,-0.0435709529245698,"Neutrophils"
-1.70906381020568,1.32026596137635,"Neutrophils"
-1.75122749516986,3.46295960017792,"Neutrophils"
0.911363187336705,3.87097532817475,"Neutrophils"
-2.62373810718081,-0.872620361360391,"Neutrophils"
0.294926825070165,5.24281628200165,"Neutrophils"
0.771347585224889,2.35198648044221,"Neutrophils"
1.41306478073575,0.593892408100287,"M2 Macrophages"
-1.71539964983485,2.50734050342194,"Neutrophils"
-3.30617302367709,2.40232474872224,"Neutrophils"
-2.65166514823458,0.0206470317517913,"Neutrophils"
-1.50731719183049,1.65725023814789,"Neutrophils"
